"trans_id";"account_id";"date";"type";"operation";"amount";"balance";"k_symbol";"bank";"account"
615542;2099;930112;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
439036;1493;930113;"PRIJEM";"PREVOD Z UCTU";5009.00;5209.00;"DUCHOD";"AB";"54522466"
1100759;3760;930113;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
480215;1637;930113;"PRIJEM";"PREVOD Z UCTU";5718.00;6218.00;"DUCHOD";"UV";"45134812"
1548749;5270;930113;"PRIJEM";"VKLAD";800.00;800.00;"";;
505241;1726;930113;"PRIJEM";"VKLAD";13967.00;14967.00;"";;
846007;2881;930113;"PRIJEM";"VKLAD";6959.00;7659.00;"";;
1021121;3487;930113;"PRIJEM";"VKLAD";15914.00;16714.00;"";;
2908689;9635;930114;"PRIJEM";"PREVOD Z UCTU";4470.00;4870.00;"DUCHOD";"CD";"37906074"
858384;2926;930114;"PRIJEM";"VKLAD";600.00;600.00;"";;
498389;1699;930114;"PRIJEM";"VKLAD";800.00;800.00;"";;
699221;2393;930114;"PRIJEM";"VKLAD";10737.00;11637.00;"";;
1142758;3909;930114;"PRIJEM";"VKLAD";700.00;700.00;"";;
1548750;5270;930114;"PRIJEM";"PREVOD Z UCTU";44749.00;45549.00;"";"IJ";"80269753"
506836;1731;930114;"PRIJEM";"VKLAD";200.00;200.00;"";;
3393738;11265;930114;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
621775;2122;930115;"PRIJEM";"VKLAD";46552.00;46852.00;"";;
737258;2519;930115;"PRIJEM";"VKLAD";500.00;500.00;"";;
144549;485;930116;"PRIJEM";"VKLAD";13156.00;13456.00;"";;
435762;1481;930117;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
1027726;3510;930117;"PRIJEM";"VKLAD";23323.00;23823.00;"";;
3122924;10364;930117;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
1176385;4034;930118;"PRIJEM";"VKLAD";200.00;200.00;"";;
119435;401;930118;"PRIJEM";"VKLAD";300.00;300.00;"";;
1100767;3760;930118;"PRIJEM";"VKLAD";10792.00;11792.00;"";;
682546;2330;930119;"PRIJEM";"VKLAD";200.00;200.00;"";;
529772;1806;930119;"PRIJEM";"VKLAD";400.00;400.00;"";;
1121963;3834;930119;"PRIJEM";"VKLAD";700.00;700.00;"";;
359511;1222;930120;"PRIJEM";"VKLAD";700.00;700.00;"";;
63712;212;930120;"PRIJEM";"VKLAD";200.00;200.00;"";;
298978;1019;930121;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
136957;459;930121;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
135814;456;930121;"PRIJEM";"VKLAD";700.00;700.00;"";;
226654;772;930121;"PRIJEM";"VKLAD";500.00;500.00;"";;
3402664;11295;930121;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
695250;2378;930122;"PRIJEM";"VKLAD";7268.00;7968.00;"";;
451890;1536;930122;"PRIJEM";"VKLAD";300.00;300.00;"";;
785190;2676;930122;"PRIJEM";"VKLAD";200.00;200.00;"";;
615548;2099;930122;"PRIJEM";"VKLAD";16125.00;17225.00;"";;
871631;2970;930122;"PRIJEM";"VKLAD";400.00;400.00;"";;
695266;2378;930123;"PRIJEM";"VKLAD";14440.00;22408.00;"";;
347543;1179;930123;"PRIJEM";"VKLAD";700.00;700.00;"";;
708081;2425;930123;"PRIJEM";"VKLAD";900.00;900.00;"";;
83658;280;930123;"PRIJEM";"VKLAD";300.00;300.00;"";;
695262;2378;930124;"PRIJEM";"VKLAD";49752.00;72160.00;"";;
1183176;4055;930124;"PRIJEM";"VKLAD";200.00;200.00;"";;
615547;2099;930124;"PRIJEM";"VKLAD";36518.00;53743.00;"";;
1084396;3704;930124;"PRIJEM";"VKLAD";500.00;500.00;"";;
2809952;9307;930124;"PRIJEM";"VKLAD";900.00;900.00;"";;
1486053;5065;930124;"PRIJEM";"VKLAD";300.00;300.00;"";;
1736607;5891;930125;"PRIJEM";"VKLAD";900.00;900.00;"";;
142150;477;930125;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
292053;1000;930125;"PRIJEM";"VKLAD";200.00;200.00;"";;
695265;2378;930126;"PRIJEM";"VKLAD";21899.00;94059.00;"";;
144551;485;930126;"PRIJEM";"VKLAD";12336.00;25792.00;"";;
511264;1750;930126;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
594014;2023;930126;"PRIJEM";"VKLAD";200.00;200.00;"";;
484214;1649;930126;"PRIJEM";"VKLAD";700.00;700.00;"";;
1910780;6473;930126;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
1910790;6473;930126;"PRIJEM";"VKLAD";19961.00;21061.00;"";;
48640;163;930127;"PRIJEM";"VKLAD";900.00;900.00;"";;
783290;2670;930127;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
752010;2566;930127;"PRIJEM";"VKLAD";800.00;800.00;"";;
330659;1127;930127;"PRIJEM";"VKLAD";600.00;600.00;"";;
2176;9;930127;"PRIJEM";"VKLAD";400.00;400.00;"";;
336631;1144;930128;"PRIJEM";"VKLAD";200.00;200.00;"";;
131922;443;930128;"PRIJEM";"VKLAD";500.00;500.00;"";;
1256504;4296;930128;"PRIJEM";"VKLAD";200.00;200.00;"";;
851325;2902;930128;"PRIJEM";"VKLAD";200.00;200.00;"";;
393512;1338;930129;"PRIJEM";"VKLAD";38000.00;38400.00;"";;
612405;2087;930129;"PRIJEM";"VKLAD";16983.00;17583.00;"";;
1081327;3693;930129;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
608135;2070;930129;"PRIJEM";"VKLAD";300.00;300.00;"";;
1190752;4078;930130;"PRIJEM";"VKLAD";300.00;300.00;"";;
541681;1843;930130;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
796773;2714;930130;"PRIJEM";"VKLAD";800.00;800.00;"";;
695560;2378;930131;"VYDAJ";"VYBER";34700.00;59453.70;"";;
3591421;1844;930131;"PRIJEM";"";12.60;3754.60;"UROK";;
3617490;2632;930131;"PRIJEM";"";47.50;15411.50;"UROK";;
3579543;1493;930131;"PRIJEM";"";13.30;5222.30;"UROK";;
3558798;866;930131;"PRIJEM";"";37.10;13181.10;"UROK";;
3453599;6473;930131;"PRIJEM";"";17.00;21078.00;"UROK";;
3513134;9635;930131;"PRIJEM";"";11.10;4892.90;"UROK";;
3574567;1338;930131;"PRIJEM";"";15.50;38415.50;"UROK";;
3654666;3760;930131;"PRIJEM";"";22.20;11814.20;"UROK";;
3656579;3818;930131;"PRIJEM";"";55.80;18021.80;"UROK";;
3456844;9635;930131;"PRIJEM";"";11.80;4881.80;"UROK";;
3553661;704;930131;"PRIJEM";"";50.10;18527.10;"UROK";;
3552056;652;930131;"PRIJEM";"";45.00;14596.00;"UROK";;
3583848;1628;930131;"PRIJEM";"";13.40;4989.40;"UROK";;
3584201;1637;930131;"PRIJEM";"";15.90;6233.90;"UROK";;
3586191;1695;930131;"PRIJEM";"";38.80;12070.80;"UROK";;
3587145;1726;930131;"PRIJEM";"";38.20;15005.20;"UROK";;
3549613;576;930131;"PRIJEM";"";20.10;7127.10;"UROK";;
3546683;485;930131;"PRIJEM";"";38.90;25830.90;"UROK";;
3599467;2087;930131;"PRIJEM";"";7.10;17590.10;"UROK";;
3600403;2122;930131;"PRIJEM";"";107.10;46959.10;"UROK";;
3466049;3510;930131;"PRIJEM";"";48.00;23871.00;"UROK";;
3444292;2099;930131;"PRIJEM";"";62.40;53805.40;"UROK";;
207642;704;930131;"PRIJEM";"VKLAD";2900.00;21427.10;"";;
3602138;2177;930131;"PRIJEM";"";21.50;5944.50;"UROK";;
3595783;1972;930131;"PRIJEM";"";19.10;5717.10;"UROK";;
3594124;1926;930131;"PRIJEM";"";14.00;5221.00;"UROK";;
3648651;3592;930131;"PRIJEM";"";19.50;6626.50;"UROK";;
3645341;3487;930131;"PRIJEM";"";42.70;16756.70;"UROK";;
3556397;793;930131;"PRIJEM";"";15.20;4216.20;"UROK";;
2809959;9307;930131;"PRIJEM";"VKLAD";5282.00;6182.00;"";;
3608592;2378;930131;"PRIJEM";"";94.70;94153.70;"UROK";;
3607855;2357;930131;"PRIJEM";"";19.40;7253.40;"UROK";;
3609127;2393;930131;"PRIJEM";"";28.20;11665.10;"UROK";;
3612139;2484;930131;"PRIJEM";"";42.70;15921.70;"UROK";;
3669814;5270;930131;"PRIJEM";"";110.20;45659.20;"UROK";;
3479816;9307;930131;"PRIJEM";"";0.80;6182.80;"UROK";;
3572388;1276;930131;"PRIJEM";"";23.10;7197.10;"UROK";;
3627125;2925;930131;"PRIJEM";"";20.00;7466.00;"UROK";;
3625747;2881;930131;"PRIJEM";"";19.60;7678.60;"UROK";;
1117691;3818;930131;"PRIJEM";"VKLAD";2000.00;20021.80;"";;
771484;2632;930201;"PRIJEM";"VKLAD";5100.00;20511.50;"";;
490777;1675;930201;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
1730428;5868;930202;"PRIJEM";"VKLAD";200.00;200.00;"";;
453138;1539;930202;"PRIJEM";"VKLAD";11900.00;12500.00;"";;
754232;2574;930202;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
726266;2484;930202;"PRIJEM";"VKLAD";5500.00;21421.70;"";;
497553;1695;930202;"PRIJEM";"VKLAD";7500.00;19570.80;"";;
529229;1805;930202;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
882361;3007;930202;"PRIJEM";"VKLAD";800.00;800.00;"";;
505750;1726;930202;"PRIJEM";"VKLAD";6000.00;21005.20;"";;
251233;862;930202;"PRIJEM";"VKLAD";200.00;200.00;"";;
711848;2434;930202;"PRIJEM";"VKLAD";600.00;600.00;"";;
145127;485;930203;"VYDAJ";"VYBER";25300.00;46177.90;"";;
144544;485;930203;"PRIJEM";"VKLAD";45647.00;71477.90;"";;
332444;1132;930203;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
1313152;4484;930203;"PRIJEM";"VKLAD";700.00;700.00;"";;
1028980;3514;930203;"PRIJEM";"VKLAD";600.00;600.00;"";;
275306;943;930203;"PRIJEM";"VKLAD";800.00;800.00;"";;
846309;2881;930203;"PRIJEM";"VKLAD";7000.00;14678.50;"";;
138712;465;930204;"PRIJEM";"VKLAD";700.00;700.00;"";;
1163520;3983;930204;"PRIJEM";"VKLAD";900.00;900.00;"";;
2797771;9265;930204;"PRIJEM";"VKLAD";300.00;300.00;"";;
192366;652;930204;"PRIJEM";"VKLAD";2900.00;17496.00;"";;
695272;2378;930205;"PRIJEM";"VKLAD";30192.00;89645.70;"";;
783292;2670;930205;"PRIJEM";"VKLAD";24381.00;25481.00;"";;
122242;411;930205;"PRIJEM";"VKLAD";400.00;400.00;"";;
637743;2177;930205;"PRIJEM";"PREVOD Z UCTU";5123.00;11067.50;"DUCHOD";"YZ";"62457513"
330661;1127;930205;"PRIJEM";"VKLAD";23330.00;23930.00;"";;
259747;890;930205;"PRIJEM";"VKLAD";700.00;700.00;"";;
566013;1926;930205;"PRIJEM";"VKLAD";8500.00;13721.00;"";;
560900;1909;930205;"PRIJEM";"PREVOD Z UCTU";3191.00;3991.00;"";"AB";"24230474"
110536;374;930205;"PRIJEM";"PREVOD Z UCTU";23041.00;23441.00;"";"WX";"4004806"
498391;1699;930205;"PRIJEM";"PREVOD Z UCTU";5224.00;6024.00;"DUCHOD";"CD";"94008880"
529774;1806;930205;"PRIJEM";"PREVOD Z UCTU";5029.00;5429.00;"DUCHOD";"UV";"39912659"
224344;764;930205;"PRIJEM";"PREVOD Z UCTU";6238.00;7338.00;"DUCHOD";"UV";"30560720"
232962;793;930205;"PRIJEM";"PREVOD Z UCTU";3401.00;7617.20;"";"IJ";"6149286"
286072;982;930205;"PRIJEM";"VKLAD";900.00;900.00;"";;
851327;2902;930205;"PRIJEM";"VKLAD";20213.00;20413.00;"";;
3393740;11265;930205;"PRIJEM";"VKLAD";7618.00;8618.00;"";;
101388;346;930205;"PRIJEM";"VKLAD";19935.00;20735.00;"";;
184681;627;930205;"PRIJEM";"VKLAD";600.00;600.00;"";;
336633;1144;930206;"PRIJEM";"PREVOD Z UCTU";3375.00;3575.00;"";"GH";"1589578"
119437;401;930206;"PRIJEM";"VKLAD";12817.00;13117.00;"";;
1157039;3960;930206;"PRIJEM";"VKLAD";500.00;500.00;"";;
1100775;3760;930206;"PRIJEM";"VKLAD";38645.00;50459.20;"";;
1028004;3510;930206;"VYDAJ";"VYBER";1600.00;22271.00;"";;
375032;1276;930206;"PRIJEM";"VKLAD";10600.00;17797.10;"";;
57435;192;930206;"PRIJEM";"PREVOD Z UCTU";5859.00;6159.00;"DUCHOD";"GH";"15384018"
699588;2393;930206;"PRIJEM";"VKLAD";5500.00;17165.20;"";;
660834;2256;930206;"PRIJEM";"VKLAD";700.00;700.00;"";;
275308;943;930206;"PRIJEM";"PREVOD Z UCTU";3217.00;4017.00;"";"OP";"70103525"
1163522;3983;930206;"PRIJEM";"VKLAD";14626.00;15526.00;"";;
286074;982;930206;"PRIJEM";"VKLAD";4550.00;5450.00;"";;
1132664;3871;930206;"PRIJEM";"PREVOD Z UCTU";4356.00;4656.00;"DUCHOD";"GH";"31564527"
506452;1730;930206;"PRIJEM";"PREVOD Z UCTU";6689.00;7589.00;"DUCHOD";"ST";"43294817"
710066;2429;930206;"PRIJEM";"VKLAD";600.00;600.00;"";;
695340;2378;930207;"VYDAJ";"PREVOD NA UCET";9612.00;80033.70;"SIPO";"EF";"1222903"
1176387;4034;930207;"PRIJEM";"VKLAD";5080.00;5280.00;"";;
129504;435;930207;"PRIJEM";"PREVOD Z UCTU";5039.00;5439.00;"DUCHOD";"MN";"22131634"
138714;465;930207;"PRIJEM";"PREVOD Z UCTU";12785.00;13485.00;"";"UV";"71654224"
347545;1179;930207;"PRIJEM";"PREVOD Z UCTU";4212.00;4912.00;"DUCHOD";"WX";"72322171"
541683;1843;930207;"PRIJEM";"PREVOD Z UCTU";17632.00;18632.00;"";"QR";"76294219"
542217;1844;930207;"PRIJEM";"PREVOD Z UCTU";3242.00;6996.60;"";"ST";"42988401"
682548;2330;930207;"PRIJEM";"PREVOD Z UCTU";3395.00;3595.00;"";"ST";"18759459"
2442343;8051;930207;"PRIJEM";"VKLAD";200.00;200.00;"";;
1028982;3514;930207;"PRIJEM";"PREVOD Z UCTU";3399.00;3999.00;"";"GH";"67514222"
579375;1972;930207;"PRIJEM";"PREVOD Z UCTU";5298.00;11015.10;"DUCHOD";"UV";"14132887"
3122926;10364;930207;"PRIJEM";"VKLAD";14493.00;15593.00;"";;
615550;2099;930207;"PRIJEM";"VKLAD";28157.00;81962.40;"";;
612713;2087;930207;"PRIJEM";"VKLAD";1800.00;19390.10;"";;
292055;1000;930207;"PRIJEM";"PREVOD Z UCTU";31348.00;31548.00;"";"ST";"87163465"
737260;2519;930207;"PRIJEM";"PREVOD Z UCTU";5544.00;6044.00;"DUCHOD";"GH";"5454445"
622121;2122;930207;"VYDAJ";"VYBER";14100.00;32859.10;"";;
1486060;5065;930207;"PRIJEM";"VKLAD";33045.00;33345.00;"";;
1021463;3487;930207;"PRIJEM";"VKLAD";1800.00;18556.70;"";;
655272;2241;930208;"PRIJEM";"VKLAD";200.00;200.00;"";;
2349697;7753;930208;"PRIJEM";"VKLAD";600.00;600.00;"";;
242366;830;930208;"PRIJEM";"VKLAD";200.00;200.00;"";;
144559;485;930208;"PRIJEM";"VKLAD";20066.00;66243.90;"";;
775968;2647;930208;"PRIJEM";"VKLAD";400.00;400.00;"";;
537875;1830;930208;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
1238919;4240;930208;"PRIJEM";"PREVOD Z UCTU";27666.00;27666.00;"";"EF";"17497700"
1238917;4240;930208;"PRIJEM";"VKLAD";500.00;28166.00;"";;
576752;1965;930208;"PRIJEM";"VKLAD";600.00;600.00;"";;
1657153;5622;930208;"PRIJEM";"VKLAD";700.00;700.00;"";;
434652;1477;930208;"PRIJEM";"VKLAD";700.00;3851.00;"";;
434654;1477;930208;"PRIJEM";"PREVOD Z UCTU";3151.00;3151.00;"";"KL";"92373114"
294480;1006;930208;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
374591;1276;930208;"PRIJEM";"VKLAD";6774.00;24571.10;"";;
73509;244;930208;"PRIJEM";"VKLAD";800.00;800.00;"";;
110785;374;930208;"VYDAJ";"VYBER";1500.00;21941.00;"";;
882363;3007;930208;"PRIJEM";"VKLAD";22452.00;23252.00;"";;
2775579;9188;930208;"PRIJEM";"VKLAD";800.00;800.00;"";;
846793;2884;930208;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
251235;862;930208;"PRIJEM";"PREVOD Z UCTU";44333.00;44533.00;"";"YZ";"2834439"
3402666;11295;930208;"PRIJEM";"VKLAD";18347.00;19447.00;"";;
696164;2379;930209;"PRIJEM";"VKLAD";13900.00;14700.00;"";;
298980;1019;930209;"PRIJEM";"VKLAD";19746.00;20846.00;"";;
333296;1134;930209;"PRIJEM";"VKLAD";400.00;400.00;"";;
332446;1132;930209;"PRIJEM";"PREVOD Z UCTU";48098.00;49098.00;"";"ST";"32223415"
259749;890;930209;"PRIJEM";"VKLAD";7041.00;7741.00;"";;
858265;2925;930209;"PRIJEM";"VKLAD";9100.00;16566.00;"";;
858386;2926;930209;"PRIJEM";"VKLAD";10584.00;11184.00;"";;
63714;212;930209;"PRIJEM";"PREVOD Z UCTU";49590.00;49790.00;"";"IJ";"58325630"
581701;1979;930209;"PRIJEM";"PREVOD Z UCTU";3021.00;3921.00;"";"UV";"38265723"
469891;1601;930209;"PRIJEM";"VKLAD";500.00;500.00;"";;
771037;2632;930209;"PRIJEM";"VKLAD";14264.00;34775.50;"";;
1084398;3704;930209;"PRIJEM";"PREVOD Z UCTU";6242.00;6742.00;"DUCHOD";"AB";"11927444"
253162;866;930209;"PRIJEM";"VKLAD";5400.00;18581.10;"";;
192098;652;930209;"PRIJEM";"VKLAD";13851.00;31347.00;"";;
1117249;3818;930209;"PRIJEM";"VKLAD";17366.00;37387.80;"";;
695722;2379;930210;"PRIJEM";"VKLAD";5072.00;19772.00;"";;
649665;2220;930210;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
237649;813;930210;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
135816;456;930210;"PRIJEM";"PREVOD Z UCTU";47831.00;48531.00;"";"AB";"95670407"
775970;2647;930210;"PRIJEM";"VKLAD";12015.00;12415.00;"";;
393999;1338;930210;"VYDAJ";"VYBER";5200.00;33215.50;"";;
708083;2425;930210;"PRIJEM";"VKLAD";8905.00;9805.00;"";;
594016;2023;930210;"PRIJEM";"VKLAD";23524.00;23724.00;"";;
1049883;3592;930210;"PRIJEM";"PREVOD Z UCTU";6007.00;12633.50;"DUCHOD";"MN";"73166322"
757953;2585;930210;"PRIJEM";"VKLAD";1000.00;1000.00;"";;
840171;2861;930210;"PRIJEM";"VKLAD";300.00;300.00;"";;
101684;346;930210;"PRIJEM";"VKLAD";1200.00;21935.00;"";;
695270;2378;930211;"PRIJEM";"VKLAD";31038.00;111071.70;"";;
695561;2378;930211;"VYDAJ";"VYBER";25200.00;85871.70;"";;
452734;1539;930211;"PRIJEM";"VKLAD";43737.00;56237.00;"";;
237651;813;930211;"PRIJEM";"PREVOD Z UCTU";12154.00;13254.00;"";"QR";"19537103"
1190754;4078;930211;"PRIJEM";"VKLAD";23736.00;24036.00;"";;
511266;1750;930211;"PRIJEM";"VKLAD";24863.00;25963.00;"";;
685663;2342;930211;"PRIJEM";"VKLAD";400.00;400.00;"";;
810831;2763;930211;"PRIJEM";"VKLAD";200.00;200.00;"";;
171814;576;930211;"PRIJEM";"PREVOD Z UCTU";6207.00;13334.10;"DUCHOD";"YZ";"30300313"
615783;2099;930211;"VYDAJ";"VYBER";29700.00;52262.40;"";;
612412;2087;930211;"PRIJEM";"VKLAD";14622.00;34012.10;"";;
506838;1731;930211;"PRIJEM";"PREVOD Z UCTU";4758.00;4958.00;"DUCHOD";"GH";"89825009"
846795;2884;930211;"PRIJEM";"VKLAD";5810.00;6910.00;"";;
252646;866;930211;"PRIJEM";"VKLAD";12644.00;31225.10;"";;
184683;627;930211;"PRIJEM";"VKLAD";22349.00;22949.00;"";;
2349709;7753;930212;"PRIJEM";"VKLAD";19588.00;20188.00;"";;
2349705;7753;930212;"PRIJEM";"VKLAD";27078.00;47266.00;"";;
1736609;5891;930212;"PRIJEM";"PREVOD Z UCTU";32594.00;33494.00;"";"CD";"51054984"
451892;1536;930212;"PRIJEM";"PREVOD Z UCTU";25609.00;25909.00;"";"QR";"51120805"
1183178;4055;930212;"PRIJEM";"VKLAD";20281.00;20481.00;"";;
571256;1944;930212;"PRIJEM";"VKLAD";700.00;700.00;"";;
577274;1966;930212;"PRIJEM";"VKLAD";900.00;900.00;"";;
359513;1222;930212;"PRIJEM";"PREVOD Z UCTU";6310.00;7010.00;"DUCHOD";"KL";"77489798"
754234;2574;930212;"PRIJEM";"VKLAD";14319.00;15419.00;"";;
1101121;3760;930212;"VYDAJ";"VYBER";14400.00;36059.20;"";;
689829;2357;930212;"PRIJEM";"PREVOD Z UCTU";6434.00;13687.40;"DUCHOD";"OP";"34144538"
725753;2484;930212;"PRIJEM";"VKLAD";14779.00;36200.70;"";;
565656;1926;930212;"PRIJEM";"VKLAD";4507.00;18228.00;"";;
857975;2925;930212;"PRIJEM";"VKLAD";6446.00;23012.00;"";;
207266;704;930212;"PRIJEM";"VKLAD";17477.00;38904.10;"";;
477640;1628;930212;"PRIJEM";"PREVOD Z UCTU";4276.00;9265.40;"DUCHOD";"UV";"15916598"
1549098;5270;930212;"VYDAJ";"VYBER";9600.00;36059.20;"";;
1121965;3834;930212;"PRIJEM";"VKLAD";13875.00;14575.00;"";;
83660;280;930212;"PRIJEM";"VKLAD";12043.00;12343.00;"";;
711850;2434;930212;"PRIJEM";"VKLAD";4391.00;4991.00;"";;
490779;1675;930212;"PRIJEM";"PREVOD Z UCTU";4327.00;5427.00;"DUCHOD";"AB";"50350195"
48642;163;930213;"PRIJEM";"PREVOD Z UCTU";6698.00;7598.00;"DUCHOD";"YZ";"76209622"
142152;477;930213;"PRIJEM";"VKLAD";16392.00;17392.00;"";;
671437;2293;930213;"PRIJEM";"VKLAD";700.00;700.00;"";;
785192;2676;930213;"PRIJEM";"VKLAD";15263.00;15463.00;"";;
745022;2543;930213;"PRIJEM";"VKLAD";1100.00;1100.00;"";;
1256506;4296;930213;"PRIJEM";"VKLAD";18729.00;18929.00;"";;
439037;1493;930213;"PRIJEM";"PREVOD Z UCTU";5009.00;10231.30;"DUCHOD";"AB";"54522466"
435764;1481;930213;"PRIJEM";"PREVOD Z UCTU";3098.00;4098.00;"";"AB";"21098941"
858901;2926;930213;"PRIJEM";"VKLAD";9000.00;20184.00;"";;
660836;2256;930213;"PRIJEM";"PREVOD Z UCTU";4729.00;5429.00;"DUCHOD";"AB";"59773492"
480216;1637;930213;"PRIJEM";"PREVOD Z UCTU";5718.00;11951.90;"DUCHOD";"UV";"45134812"
